"","curv_meth.x","leaf_unique","dat_vcmax","dat_jmax","tpu.x","fit_type","treeid","curv_meth.y","ss_vcmax","ss_jmax","tpu.y","vc_diff","j_diff"
"1","DAT","K6702L1",16.6999781250114,24.0453116295858,1.69970500123489,"tpu","K6702","SS",15.7223868774886,31.4973220244293,NA,-0.977591247522799,7.4520103948435
"2","DAT","K6704L1",21.8103222569684,48.8281551067154,4.72988428737957,"tpu","K6704","SS",24.4803926555908,58.3880951288816,NA,2.6700703986224,9.5599400221662
"3","DAT","K6704L2",17.9826864204531,47.7909426331716,4.57662193194756,"tpu","K6704","SS",20.1850378784446,51.6187552510138,NA,2.2023514579915,3.8278126178422
"4","DAT","K6705L1",20.0608067563291,39.2217998600696,NA,"tpu","K6705","SS",19.7794962782652,36.5961509135292,NA,-0.281310478063851,-2.62564894654039
"5","DAT","K6705L2",24.5944020324992,44.7139693813542,3.56962919001199,"tpu","K6705","SS",23.8766834288716,43.189880886,NA,-0.717718603627599,-1.5240884953542
"6","DAT","K6706L1",31.1919460077514,51.1685458250515,2.71360127576921,"tpu","K6706","SS",32.7284411473156,55.4266382852899,4.34223912370956,1.5364951395642,4.25809246023839
"7","DAT","K6706L2",31.7030521410176,54.8946034319436,5.30710616790915,"tpu","K6706","SS",34.3921159858005,68.0705279592811,NA,2.6890638447829,13.1759245273375
"8","DAT","K6707L1",69.8947261536024,99.2920023880769,6.06381409943455,"tpu","K6707","SS",64.2091415534769,102.756717092357,8.04626556692436,-5.68558460012551,3.4647147042801
"9","DAT","K6707L2",80.8896860405077,112.363961677592,6.35477681379794,"tpu","K6707","SS",83.1847801101414,120.503232372069,9.35539505554768,2.29509406963375,8.13927069447649
"10","DAT","K6708L1",28.453732046112,46.8714935715359,NA,"tpu","K6708","SS",26.7403772016636,49.8467252331649,NA,-1.7133548444484,2.975231661629
"11","DAT","K6708L2",24.2797110809525,42.1923071395358,NA,"tpu","K6708","SS",24.7520492452971,48.0803797832776,NA,0.472338164344603,5.8880726437418
"12","DAT","K6709L2",59.2962284754927,84.5458103422591,6.80877152793294,"tpu","K6709","SS",61.8109104187878,101.543738218681,NA,2.5146819432951,16.9979278764219
"13","DAT","K6709L6",49.7784765464606,48.4405946574332,5.72201287971467,"tpu","K6709","SS",64.6446091805388,110.018126013426,8.0123068000403,14.8661326340782,61.5775313559928
"14","DAT","K6709L8",67.6327173414248,100.547596077738,8.36318813979826,"tpu","K6709","SS",63.8082227672604,105.290774145988,NA,-3.82449457416439,4.74317806824999
"15","DAT","K6713L1",24.7465720053319,35.9814421670951,3.43605602339263,"tpu","K6713","SS",25.8682799595775,44.2928120441761,NA,1.1217079542456,8.311369877081
"16","DAT","K6713L2",20.4203876928336,36.9942418321941,NA,"tpu","K6713","SS",18.9133596747589,38.4232236937433,NA,-1.5070280180747,1.4289818615492
"17","DAT","K6713L3",32.3355745742297,49.9302769488151,4.28440470873387,"tpu","K6713","SS",33.9742611234906,52.4084478887469,NA,1.6386865492609,2.4781709399318
"18","DAT","K6714L1",23.2295403095382,23.2080593145763,0.938580237860142,"tpu","K6714","SS",21.9548185074285,29.0604809164175,2.4513302303017,-1.2747218021097,5.8524216018412
"19","DAT","K6714L2",25.2708568736178,11.7537238851625,1.55001863758251,"tpu","K6714","SS",23.6747501448338,35.4767220038547,2.71643710861298,-1.596106728784,23.7229981186922
"20","DAT","K6715L1",21.4747222301247,38.3458193077706,3.71890881330868,"tpu","K6715","SS",22.0742612154155,46.0320627445871,NA,0.599538985290753,7.68624343681655
"21","DAT","K6715L2",28.9085890852689,48.5082648723963,NA,"tpu","K6715","SS",28.547321190725,54.9771682074288,NA,-0.3612678945439,6.46890333503249
"22","DAT","K6716L1",34.953904964134,53.0223094306979,NA,"tpu","K6716","SS",36.9666800180096,62.09438847834,NA,2.0127750538756,9.0720790476421
"23","DAT","K6716L2",33.2001972920477,55.4474357715096,4.24506229515506,"tpu","K6716","SS",35.0337543260632,60.8130269087611,NA,1.83355703401551,5.3655911372515
"24","DAT","K6717L1",39.691848414264,66.2327632525711,NA,"tpu","K6717","SS",43.2766999579409,69.4989289698232,NA,3.5848515436769,3.26616571725209
"25","DAT","K6717L2",41.4364510995175,70.9515945309389,NA,"tpu","K6717","SS",43.6113708143378,71.9036163797259,NA,2.17491971482031,0.952021848786998
"26","DAT","K6718L1",15.9072784804641,36.3299929058312,3.6233057619776,"tpu","K6718","SS",17.831018132625,40.7319651697927,NA,1.9237396521609,4.4019722639615
"27","DAT","K6718L2",10.0682256962695,22.7477136934297,2.25434412806979,"tpu","K6718","SS",11.0430366530893,24.0306209492233,NA,0.9748109568198,1.2829072557936
