"","treename","vc_diff","j_diff","vc_diff_se","j_diff_se","rel_can_pos","family","gen_spec","gen_spec_id"
"1",14,-1.4315162762974,14.7513880055884,0.0441004451518654,2.42381545002246,12,"Annonaceae","Anaxagorea dolichocarpa","Anaxagorea dolichocarpa"
"2",2,-0.961624753333702,7.4513426137986,NA,NA,11,"Lecythidaceae","Couratari stellata","Couratari stellata"
"3",13,0.425998516453233,4.1659344360435,0.321674252094921,0.743860248826569,10,"Hypericaceae","Vismia cayennensis","Vismia cayennensis"
"4",17,2.8128219463809,2.06007807358689,0.188941922399265,0.316943475867737,9,"Euphorbiaceae","Aparisthmium cordatum","Aparisthmium cordatum"
"5",15,0.129704686120149,7.0584730505262,0.129919194425548,0.164192952523936,8,"Rubiaceae","Coussarea paniculata","Coussarea paniculata"
"6",16,1.5565421550477,7.17867298621455,0.111542766952743,0.499175533635156,7,"Melastomataceae","Miconia egensis","Miconia egensis"
"7",5,-0.61205245515635,-2.10922891669513,0.0858051558390917,0.147753984859636,6,"Burseraceae","Protium apiculatum","Protium apiculatum"
"8",18,1.43480463482877,2.8379490191101,0.128039022615543,0.423565020752531,5.2,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #2"
"9",4,2.41327226797755,6.68546916091445,0.0640668906963414,0.782148751287431,5.1,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #1"
"10",6,2.04878733673665,8.67391103251745,0.154464388792635,1.20858978803792,4,"Lecythidaceae","Eschweilera sp. trufle1","Eschweilera sp. trufle1"
"11",8,-0.607284473108399,4.4225676083207,0.293161854540235,0.396146616418673,3,"Rubiaceae","Chimarrhis turbinata","Chimarrhis turbinata"
"12",7,-1.70198582809993,5.81035310040045,1.06606655882789,0.630000250697503,2,"Fabaceae","Tachigali chrysophylla","Tachigali chrysophylla"
"13",9,4.25794230953181,26.2342492363296,1.77167821088943,5.81593607304709,1,"Sapotaceae","Manilkara elata","Manilkara elata"
